symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00066000,-1.082,0.06052168,0.06102000,0.06036000,0.27890000,0.06036000,59.62910000,0.06037000,40.62800000,0.06102000,0.06103000,0.06022000,17235.26530000,1043.10715633,1695107628890,1695194028890,423127504,423159974,32471
LTCBTC,-0.00003700,-1.483,0.00247383,0.00249600,0.00245800,3.68000000,0.00245800,182.75400000,0.00245900,16.39100000,0.00249500,0.00250400,0.00245000,51260.07600000,126.80858608,1695107630423,1695194030423,93539546,93551675,12130
BNBBTC,-0.00008300,-1.027,0.00800604,0.00808100,0.00799800,1.02000000,0.00799800,36.21200000,0.00799900,0.27200000,0.00808100,0.00808800,0.00794100,22047.22800000,176.51091210,1695107630443,1695194030443,227195566,227224340,28775
NEOBTC,-0.00000020,-0.072,0.00028058,0.00027800,0.00027770,35.58000000,0.00027730,0.71000000,0.00027760,36.11000000,0.00027790,0.00028550,0.00027610,18355.16000000,5.15004691,1695107624439,1695194024439,45515622,45520661,5040
QTUMETH,-0.00000800,-0.591,0.00135529,0.00134500,0.00134500,5.70000000,0.00134700,306.70000000,0.00135200,200.00000000,0.00135300,0.00136100,0.00134500,104.70000000,0.14189930,1695107583826,1695193983826,5402162,5402181,20
EOSETH,-0.00000030,-0.085,0.00035213,0.00035310,0.00035310,106.00000000,0.00035280,577.50000000,0.00035380,343.60000000,0.00035340,0.00035570,0.00035090,10580.20000000,3.72565012,1695107632336,1695194032336,23498079,23498191,113
SNTETH,-0.00000007,-0.512,0.00001360,0.00001365,0.00001360,24269.00000000,0.00001360,23554.00000000,0.00001369,484.00000000,0.00001367,0.00001378,0.00001356,219686.00000000,2.98873606,1695107600605,1695194000605,3906934,3906966,33
BNTETH,0.00000080,0.320,0.00025276,0.00025050,0.00025100,121.60000000,0.00025080,776.40000000,0.00025190,53.30000000,0.00025020,0.00025330,0.00025020,8287.80000000,2.09486280,1695107570717,1695193970717,2235216,2235244,29
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
GASBTC,0.00000500,5.459,0.00009839,0.00009160,0.00009660,12.80000000,0.00009660,38.30000000,0.00009680,45.40000000,0.00009160,0.00010640,0.00009150,203362.60000000,20.00953598,1695107601195,1695194001195,20805245,20813562,8318
BNBETH,0.00010000,0.076,0.13230537,0.13250000,0.13250000,41.60900000,0.13240000,131.62300000,0.13260000,29.49000000,0.13240000,0.13300000,0.13160000,5564.60100000,736.22662120,1695107632119,1695194032119,56303295,56309188,5894
BTCUSDT,218.14000000,0.813,27166.42378203,26832.19000000,27050.34000000,0.06154000,27050.34000000,4.19221000,27050.35000000,12.20715000,26832.20000000,27483.57000000,26827.14000000,40067.88523000,1088501150.20800420,1695107632447,1695194032447,3215311951,3216272196,960246
ETHUSDT,-4.54000000,-0.277,1643.88134850,1637.56000000,1633.01000000,0.03680000,1633.00000000,42.28050000,1633.01000000,72.57440000,1637.55000000,1661.04000000,1630.42000000,204423.41020000,336047831.22468800,1695107632747,1695194032747,1198217885,1198577655,359771
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
WTCBTC,-0.00000003,-0.516,0.00000575,0.00000581,0.00000578,540.00000000,0.00000576,114.00000000,0.00000579,18.00000000,0.00000581,0.00000585,0.00000565,112949.00000000,0.64978306,1695107426711,1695193826711,20185717,20188426,2710
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
LRCBTC,-0.00000004,-0.607,0.00000655,0.00000659,0.00000655,54.00000000,0.00000655,896.00000000,0.00000656,7127.00000000,0.00000659,0.00000662,0.00000652,243316.00000000,1.59464358,1695107628832,1695194028832,22104930,22105425,496
LRCETH,-0.00000022,-0.202,0.00010857,0.00010835,0.00010847,156.00000000,0.00010843,2628.00000000,0.00010884,156.00000000,0.00010869,0.00010871,0.00010816,6385.00000000,0.69322442,1695107593987,1695193993987,4718559,4718568,10
QTUMBTC,-0.00000090,-1.092,0.00008203,0.00008210,0.00008150,9.50000000,0.00008140,245.70000000,0.00008160,696.30000000,0.00008240,0.00008270,0.00008150,2213.00000000,0.18153321,1695107616628,1695194016628,24072481,24072592,112
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
ZRXBTC,-0.00000020,-2.937,0.00000665,0.00000681,0.00000661,1282.00000000,0.00000658,1848.00000000,0.00000659,2805.00000000,0.00000681,0.00000685,0.00000654,113902.00000000,0.75741519,1695107596117,1695193996117,25392612,25393187,576
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
KNCBTC,0.00000032,1.461,0.00002186,0.00002195,0.00002223,24.00000000,0.00002226,125.20000000,0.00002230,85.90000000,0.00002191,0.00002249,0.00002140,78564.60000000,1.71778830,1695107630730,1695194030730,20227990,20229914,1925
KNCETH,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
FUNBTC,0.00000000,0.000,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
FUNETH,-0.00000001,-0.410,0.00000243,0.00000242,0.00000243,19546.00000000,0.00000244,144727.00000000,0.00000245,108317.00000000,0.00000244,0.00000245,0.00000241,999085.00000000,2.42650334,1695107599120,1695193999120,3201132,3201178,47
SNMBTC,-0.00000069,-54.762,0.00000098,0.00000127,0.00000057,46703.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000126,0.00000147,0.00000055,26662465.00000000,26.13502488,1692586803266,1692673203266,14644423,14651718,7296
SNMETH,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
NEOETH,0.00006400,1.406,0.00464205,0.00455400,0.00461500,7.97000000,0.00459100,23.92000000,0.00461400,18.03000000,0.00455100,0.00473900,0.00454600,2418.46000000,11.22661897,1695107632811,1695194032811,11340534,11341284,751
IOTABTC,-0.00000007,-1.264,0.00000551,0.00000554,0.00000547,280.00000000,0.00000547,3502.00000000,0.00000549,2865.00000000,0.00000554,0.00000556,0.00000544,2530701.00000000,13.94179796,1695107564871,1695193964871,34331738,34333641,1904
IOTAETH,-0.00000030,-0.330,0.00009088,0.00009000,0.00009060,138.00000000,0.00009050,10132.00000000,0.00009090,5586.00000000,0.00009090,0.00009140,0.00009020,39221.00000000,3.56452840,1695107623202,1695194023202,7781764,7781826,63
LINKBTC,0.00000120,0.478,0.00025144,0.00025070,0.00025200,48.11000000,0.00025200,545.04000000,0.00025210,53.05000000,0.00025080,0.00025720,0.00024690,477756.60000000,120.12495462,1695107629336,1695194029336,89562647,89576541,13895
LINKETH,0.00006400,1.556,0.00416223,0.00410700,0.00417600,8.13000000,0.00417500,44.01000000,0.00417700,70.73000000,0.00411200,0.00426100,0.00407100,62303.77000000,259.32273709,1695107631039,1695194031039,20281194,20284557,3364
XVGBTC,0.00000000,0.000,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
XVGETH,0.00000002,0.957,0.00000212,0.00000209,0.00000211,152553.00000000,0.00000211,238079.00000000,0.00000212,171392.00000000,0.00000209,0.00000213,0.00000209,1808866.00000000,3.83594486,1695107610702,1695194010702,11228131,11228207,77
SALTBTC,0.00000000,0.000,0.00000000,0.00004250,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
SALTETH,0.00000000,0.000,0.00000000,0.00113800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
MDABTC,0.00000000,0.000,0.00000000,0.00000382,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
MDAETH,0.00000000,0.000,0.00000000,0.00181150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
MTLBTC,0.00000161,3.463,0.00004713,0.00004653,0.00004810,10.00000000,0.00004792,141.60000000,0.00004798,577.10000000,0.00004649,0.00004813,0.00004565,188431.20000000,8.88130135,1695107628561,1695194028561,20551731,20553403,1673
MTLETH,-0.00000210,-0.306,0.00067987,0.00068740,0.00068340,45.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00068550,0.00069230,0.00065730,4696.30000000,3.19288504,1693454410058,1693540810058,3097721,3097755,35
SUBBTC,0.00000000,0.000,0.00000000,0.00000457,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
SUBETH,0.00000000,0.000,0.00000000,0.00012334,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
EOSBTC,-0.00000021,-0.976,0.00002136,0.00002153,0.00002131,4.90000000,0.00002131,349.70000000,0.00002133,2616.10000000,0.00002152,0.00002154,0.00002113,393337.70000000,8.40203408,1695107625220,1695194025220,74762223,74764254,2032
SNTBTC,-0.00000002,-2.381,0.00000083,0.00000084,0.00000082,788.00000000,0.00000082,56843.00000000,0.00000083,285401.00000000,0.00000084,0.00000084,0.00000082,802067.00000000,0.66391039,1695107615330,1695194015330,12639128,12639944,817
ETCETH,-0.00003000,-0.313,0.00957024,0.00959000,0.00954000,38.83000000,0.00954000,154.95000000,0.00958000,58.51000000,0.00957000,0.00963000,0.00953000,2008.62000000,19.22298330,1695107630032,1695194030032,8662557,8662755,199
ETCBTC,-0.00000900,-1.538,0.00057817,0.00058400,0.00057600,57.23000000,0.00057600,159.99000000,0.00057700,759.87000000,0.00058500,0.00058500,0.00057500,16084.44000000,9.29954635,1695107610496,1695194010496,43848148,43849832,1685
MTHBTC,0.00000000,0.000,0.00000000,0.00000023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
MTHETH,0.00000000,0.000,0.00000000,0.00004135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
ENGBTC,0.00000000,0.000,0.00000000,0.00006200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
ENGETH,0.00000000,0.000,0.00000000,0.00186480,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
DNTBTC,0.00000000,0.000,0.00000000,0.00000186,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
ZECBTC,-0.00000300,-0.312,0.00095666,0.00096100,0.00095900,26.60800000,0.00095800,121.35000000,0.00096000,106.92900000,0.00096200,0.00096400,0.00094100,14878.95300000,14.23410866,1695107632412,1695194032412,28054958,28056498,1541
ZECETH,0.00009000,0.570,0.01570368,0.01576000,0.01588000,0.38100000,0.01586000,83.92200000,0.01590000,0.96300000,0.01579000,0.01588000,0.01552000,287.39700000,4.51319030,1695107631167,1695194031167,3580749,3580842,94
BNTBTC,-0.00000009,-0.591,0.00001522,0.00001531,0.00001514,9.20000000,0.00001514,896.30000000,0.00001518,1217.80000000,0.00001523,0.00001533,0.00001508,26286.00000000,0.40016570,1695107610806,1695194010806,8323953,8324253,301
ASTBTC,-0.00000004,-1.227,0.00000324,0.00000329,0.00000322,1183.00000000,0.00000322,25749.00000000,0.00000324,8495.00000000,0.00000326,0.00000328,0.00000321,418890.00000000,1.35837743,1695107619289,1695194019289,17573984,17574412,429
ASTETH,0.00000000,0.000,0.00000000,0.00006960,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689574598494,1689660998494,-1,-1,0
DASHBTC,0.00000300,0.309,0.00096763,0.00097100,0.00097300,4.40600000,0.00097200,141.14200000,0.00097300,0.23700000,0.00097000,0.00097600,0.00096000,3021.55400000,2.92374036,1695107627564,1695194027564,27645246,27646367,1122
DASHETH,0.00025000,1.575,0.01599885,0.01600000,0.01612000,0.89700000,0.01610000,10.80700000,0.01613000,0.30000000,0.01587000,0.01612000,0.01585000,63.48400000,1.01567105,1695107630904,1695194030904,3893211,3893270,60
